zone,forecaster,lead,bin,n,p_mean,o_freq
ai_central,damped_persistence,2,0,181,0.07234458883408365,0.18232044198895028
ai_central,damped_persistence,2,1,63,0.14122826651666445,0.4603174603174603
ai_central,damped_persistence,2,2,10,0.22709656666484762,0.4
ai_central,damped_persistence,2,3,7,0.33748370090814717,0.5714285714285714
ai_central,damped_persistence,2,4,2,0.4225671601537291,0.5
ai_central,damped_persistence,2,6,3,0.6477942194019198,0.3333333333333333
ai_central,damped_persistence,2,7,4,0.7384530312179769,0.25
ai_central,damped_persistence,2,8,4,0.8357864341492321,0.75
ai_central,damped_persistence,2,9,20,0.9724107583044328,0.5
ai_central,persistence,2,0,171,0.05726169683357225,0.17543859649122806
ai_central,persistence,2,1,22,0.13359230939592878,0.2727272727272727
ai_central,persistence,2,2,9,0.23391693964557586,0.5555555555555556
ai_central,persistence,2,3,2,0.33702134153499397,0.5
ai_central,persistence,2,4,4,0.4311075979855824,0.5
ai_central,persistence,2,5,1,0.5057471264367817,0.0
ai_central,persistence,2,6,7,0.6428147511096386,0.5714285714285714
ai_central,persistence,2,7,8,0.755843561619555,0.625
ai_central,persistence,2,8,17,0.8597359271019753,0.4117647058823529
ai_central,persistence,2,9,53,0.961070966085886,0.49056603773584906
ai_central,pnt_persistence,2,0,169,0.053031626072157986,0.17751479289940827
ai_central,pnt_persistence,2,1,21,0.1320035620436985,0.2857142857142857
ai_central,pnt_persistence,2,3,6,0.3318176340450372,0.5
ai_central,pnt_persistence,2,4,4,0.45660275684766727,0.25
ai_central,pnt_persistence,2,5,4,0.5590780090154364,0.5
ai_central,pnt_persistence,2,6,3,0.6649927622652512,0.6666666666666666
ai_central,pnt_persistence,2,7,8,0.7647394955137734,0.375
ai_central,pnt_persistence,2,8,20,0.8658316227337336,0.5
ai_central,pnt_persistence,2,9,59,0.9634739464303067,0.4915254237288136
ai_central,climatology,3,0,169,0.09237427929318792,0.28994082840236685
ai_central,climatology,3,1,124,0.10873632128655253,0.29838709677419356
ai_central,damped_persistence,3,0,182,0.08017726429694326,0.22527472527472528
ai_central,damped_persistence,3,1,79,0.13511530888498738,0.4177215189873418
ai_central,damped_persistence,3,2,13,0.24575184251987986,0.38461538461538464
ai_central,damped_persistence,3,3,4,0.34265471382259166,0.25
ai_central,damped_persistence,3,5,3,0.5847710048979148,0.6666666666666666
ai_central,damped_persistence,3,8,1,0.8879837067209776,0.0
ai_central,damped_persistence,3,9,11,0.9649633749704869,0.36363636363636365
ai_central,persistence,3,0,158,0.0641583314321756,0.22151898734177214
ai_central,persistence,3,1,35,0.1332135246336152,0.2857142857142857
ai_central,persistence,3,2,8,0.25596155606967863,0.25
ai_central,persistence,3,3,2,0.36914695034184963,0.5
ai_central,persistence,3,4,6,0.4613147214403952,0.5
ai_central,persistence,3,5,4,0.5526356351202764,0.25
ai_central,persistence,3,6,3,0.6301366075393534,0.3333333333333333
ai_central,persistence,3,7,7,0.7592194490397378,0.42857142857142855
ai_central,persistence,3,8,18,0.8586214792173799,0.3888888888888889
ai_central,persistence,3,9,52,0.9552191695410666,0.4423076923076923
ai_central,pnt_persistence,3,0,157,0.05925850835328649,0.21656050955414013
ai_central,pnt_persistence,3,1,27,0.131937818929186,0.3333333333333333
ai_central,pnt_persistence,3,2,7,0.2252676849442449,0.14285714285714285
ai_central,pnt_persistence,3,3,2,0.34688310040422715,0.0
ai_central,pnt_persistence,3,4,2,0.44069549288700455,0.5
ai_central,pnt_persistence,3,5,4,0.5530005410359181,0.25
ai_central,pnt_persistence,3,6,3,0.6457770245051783,0.3333333333333333
ai_central,pnt_persistence,3,7,8,0.7505723630152326,0.5
ai_central,pnt_persistence,3,8,23,0.8466691350167186,0.34782608695652173
ai_central,pnt_persistence,3,9,60,0.9587650817948125,0.45
ai_central,climatology,6,0,176,0.09125819091534769,0.2840909090909091
ai_central,climatology,6,1,114,0.10681100145875191,0.3333333333333333
ai_central,damped_persistence,6,0,167,0.08926926228383353,0.25748502994011974
ai_central,damped_persistence,6,1,117,0.11632999013547038,0.358974358974359
ai_central,damped_persistence,6,2,3,0.2551408523439716,0.3333333333333333
