zone,forecaster,lead,stratum,n_at_risk,n_onset,onset_rate,onset_auc,pod,pofd,far,sedi
ai_central,pnt_persistence,1,post2014,78,25,0.32051282051282054,0.7396226415094339,0.4,0.11320754716981132,0.375,0.49121177490911694
ai_central,pnt_persistence,2,all,207,35,0.16908212560386474,0.6297342192691029,0.42857142857142855,0.23255813953488372,0.7272727272727273,0.28072784700119996
ai_central,pnt_persistence,2,pre2014,129,10,0.07751937984496124,0.5025210084033613,0.2,0.14285714285714285,0.8947368421052632,0.10310246341701072
ai_central,pnt_persistence,2,post2014,78,25,0.32051282051282054,0.5969811320754717,0.52,0.4339622641509434,0.6388888888888888,0.09675607167744174
ai_central,pnt_persistence,3,all,206,35,0.16990291262135923,0.5970760233918129,0.4857142857142857,0.3508771929824561,0.7792207792207793,0.20310417622365165
ai_central,pnt_persistence,3,pre2014,128,10,0.078125,0.4703389830508474,0.1,0.2288135593220339,0.9642857142857143,-0.22389933299273526
ai_central,pnt_persistence,3,post2014,78,25,0.32051282051282054,0.5215094339622641,0.64,0.6226415094339622,0.673469387755102,0.025576692596120287
ai_central,pnt_persistence,6,all,203,35,0.1724137931034483,0.6245748299319728,0.6285714285714286,0.39285714285714285,0.75,0.33289806001464384
ai_central,pnt_persistence,6,pre2014,125,10,0.08,0.4147826086956522,0.3,0.23478260869565218,0.9,0.1019736307318166
ai_central,pnt_persistence,6,post2014,78,25,0.32051282051282054,0.540377358490566,0.76,0.7358490566037735,0.6724137931034483,0.03838134467346881
ai_east,climatology,1,all,234,17,0.07264957264957266,0.47858498238004876,0.35294117647058826,0.4976958525345622,0.9473684210526315,-0.22135185023481393
ai_east,climatology,1,pre2014,139,4,0.02877697841726619,0.5740740740740741,0.25,0.4666666666666667,0.984375,-0.3247886067273312
ai_east,climatology,1,post2014,95,13,0.1368421052631579,0.3977485928705441,0.38461538461538464,0.5487804878048781,0.9,-0.2516014271229865
ai_east,climatology,2,all,233,17,0.07296137339055794,0.48529411764705876,0.35294117647058826,0.4861111111111111,0.9459459459459459,-0.23105552974960555
ai_east,climatology,2,pre2014,138,4,0.028985507246376812,0.583955223880597,0.25,0.4552238805970149,0.9838709677419355,-0.3294933465117274
ai_east,climatology,2,post2014,95,13,0.1368421052631579,0.4080675422138837,0.38461538461538464,0.5365853658536586,0.8979591836734694,-0.16032951961402378
ai_east,climatology,3,all,232,17,0.07327586206896551,0.4882352941176471,0.5882352941176471,0.5627906976744186,0.9236641221374046,-0.2279138701409228
